title,category,link
Lok Sabha Election Schedule 2019 Lok Sabha Elections To Be Held In 7 Phases From April 11 To May 19 Counting Of Votes On May 23,india,https://timesofindia.indiatimes.com/india/lok-sabha-election-schedule-2019-lok-sabha-elections-to-be-held-in-7-phases-from-april-11-to-may-19-counting-of-votes-on-may-23/articleshow/68344034.cms
Navy Chief Holds Talks With Chief Of Us Naval Operations,india,https://timesofindia.indiatimes.com/india/navy-chief-holds-talks-with-chief-of-us-naval-operations/articleshow/69312663.cms
Navy Chief Holds Talks With Chief Of Us Naval Operations,india,https://timesofindia.indiatimes.com/india/navy-chief-holds-talks-with-chief-of-us-naval-operations/articleshow/69312663.cms
Cbi Carries Out Searches At 22 Locations In 250 Crore Scholarship Scam,india,https://timesofindia.indiatimes.com/india/cbi-carries-out-searches-at-22-locations-in-250-crore-scholarship-scam/articleshow/69312324.cms
As Us Sanctions Weigh In Iran Sends Foreign Minister To New Delhi,india,https://timesofindia.indiatimes.com/india/as-us-sanctions-weigh-in-iran-sends-foreign-minister-to-new-delhi/articleshow/69311763.cms
Saudi Employer Scratches And Thrashes 24 Year Old Indian Woman From Telangana Who Is Crying To Be Rescued,india,https://timesofindia.indiatimes.com/india/saudi-employer-scratches-and-thrashes-24-year-old-indian-woman-from-telangana-who-is-crying-to-be-rescued/articleshow/69311550.cms
Navy Chief To Inaugurate Countrys Fifth Ssb At Diamond Harbour In Bengal,india,https://timesofindia.indiatimes.com/india/navy-chief-to-inaugurate-countrys-fifth-ssb-at-diamond-harbour-in-bengal/articleshow/69311508.cms
Jk Over 40 Security Personnel 7 Civilians Injured In Clashes During Protests Over Rape Of Girl,india,https://timesofindia.indiatimes.com/india/jk-over-40-security-personnel-7-civilians-injured-in-clashes-during-protests-over-rape-of-girl/articleshow/69311465.cms
Congress Raises Concern Over Handling Of Evms After Voting In North East Delhi Seat,india,https://timesofindia.indiatimes.com/india/congress-raises-concern-over-handling-of-evms-after-voting-in-north-east-delhi-seat/articleshow/69311344.cms
Strike Against Rape Of Minor Disrupts Normal Life In Srinagar,india,https://timesofindia.indiatimes.com/india/strike-against-rape-of-minor-disrupts-normal-life-in-srinagar/articleshow/69306127.cms
Unfit For Public Life Jaitley Slams Mayawati After Remarks On Pm Modi,india,https://timesofindia.indiatimes.com/india/unfit-for-public-life-jaitley-slams-mayawati-after-remarks-on-pm-modi/articleshow/69305308.cms
Agustawestland Case Jail Authorities Deny Michels Claim Of Losing 16 Kg,india,https://timesofindia.indiatimes.com/india/agustawestland-case-jail-authorities-deny-michels-claim-of-losing-16-kg/articleshow/69304867.cms
Scientists Prepares 20 Tonnes Of Food Energy Bars For Fani Victims,india,https://timesofindia.indiatimes.com/india/scientists-prepares-20-tonnes-of-food-energy-bars-for-fani-victims/articleshow/69304593.cms
Pakistan Expects To Resume Talks On Kartarpur Corridor After Elections In India,india,https://timesofindia.indiatimes.com/india/pakistan-expects-to-resume-talks-on-kartarpur-corridor-after-elections-in-india/articleshow/69304646.cms
Strike Against Rape Of Minor Disrupts Normal Life In Srinagar,india,https://timesofindia.indiatimes.com/india/strike-against-rape-of-minor-disrupts-normal-life-in-srinagar/articleshow/69304217.cms
Kamal Haasan Slammed For First Terrorist Was Hindu Remark,india,https://timesofindia.indiatimes.com/india/kamal-haasan-slammed-for-first-terrorist-was-hindu-remark/articleshow/69303746.cms
Sc Agrees To Hear Plea Against Delhi Hc Verdict Quashing Cadre Allocation Of Ias Ips Officers,india,https://timesofindia.indiatimes.com/india/sc-agrees-to-hear-plea-against-delhi-hc-verdict-quashing-cadre-allocation-of-ias-ips-officers/articleshow/69303441.cms
Google Dedicates Doodle To 6th Phase Of Lok Sabha Elections,india,https://timesofindia.indiatimes.com/india/google-dedicates-doodle-to-6th-phase-of-lok-sabha-elections/articleshow/69290530.cms
Cant See But Can Crack The Code,india,https://timesofindia.indiatimes.com/india/cant-see-but-can-crack-the-code/articleshow/69279333.cms
2 Terrorists Killed In Encounter In Jks Shopian,india,https://timesofindia.indiatimes.com/india/2-terrorists-killed-in-encounter-in-jks-shopian/articleshow/69288501.cms
Congress Left Red Faced As 2 Senior Leaders Come To Blows On Dais In Hyderabad,india,https://timesofindia.indiatimes.com/india/congress-left-red-faced-as-2-senior-leaders-come-to-blows-on-dais-in-hyderabad/articleshow/69288342.cms
On Pokhran Ii Nuclear Test Anniv Pm Modi Hails Vajpayee,india,https://timesofindia.indiatimes.com/india/on-pokhran-ii-nuclear-test-anniv-pm-modi-hails-vajpayee/articleshow/69288337.cms
Maoists Trigger Landmine Blast In Odisha 2 Sog Jawans Injured,india,https://timesofindia.indiatimes.com/india/maoists-trigger-landmine-blast-in-odisha-2-sog-jawans-injured/articleshow/69288318.cms
Army Called In As Assam Town Remains Tense Curfew In Place,india,https://timesofindia.indiatimes.com/india/army-called-in-as-assam-town-remains-tense-curfew-in-place/articleshow/69288314.cms
